#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,.,.,#,#,#,.,.,.,#,#,#,#,#,#,#,.,.,.,.,.,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,.,.,.,.,.,#,#,#
#,#,#,.,.,.,.,.,.,.,.,.,.,#,#,#,#,$,.,.,.,.,.,.,.,#,#,#,#,#,#,#,#,#,#,.,.,.,.,.,.,.,.,.,.,.,$,#
#,#,#,.,.,.,.,.,.,.,.,.,.,.,#,#,#,$,.,.,.,.,.,.,.,.,#,#,.,.,#,#,#,#,.,.,.,.,~,~,.,.,.,.,.,.,$,#
#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,$,#,#,$,.,.,.,.,.,.,.,.,.,.,.,.,$,#,#,.,.,.,~,~,~,~,.,.,.,.,.,$,#
$,.,.,.,.,.,.,.,.,.,.,.,.,.,.,$,#,#,$,.,.,.,.,.,.,.,.,.,.,.,.,$,#,#,.,.,.,.,~,~,.,.,.,.,.,.,$,#
$,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,~,.,.,.,.,.,.,.,.,$
$,@,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,$
$,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,~,~,~,~,~,~,.,.,.,.,#,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,$
$,.,.,.,.,.,.,.,.,.,.,#,#,#,#,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,$,.,.,.,.,#,#,.,.,.,.,.,.,.,$
#,#,.,.,.,.,.,.,.,.,#,#,#,#,#,#,#,#,.,.,.,.,.,.,.,.,.,.,.,.,#,#,#,$,.,.,.,#,#,#,#,.,.,.,.,.,#,#
#,$,.,.,.,.,.,.,.,.,$,#,#,#,#,#,#,#,.,.,.,.,.,.,.,.,.,.,.,.,#,#,#,$,.,.,.,$,#,#,#,#,.,.,.,#,#,#
#,$,.,.,.,.,.,.,.,.,$,#,#,#,#,#,#,#,#,.,.,.,.,.,.,.,.,.,.,#,#,#,#,$,.,.,.,$,#,#,#,#,#,#,#,#,#,#
#,#,#,.,.,#,#,.,.,#,#,#,#,#,#,#,#,#,#,#,#,#,.,.,.,#,#,#,#,#,#,#,#,#,#,.,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
